lambda_um,T_H2O,T_CO2,T_O3,T_N2O,T_CO,T_CH4,T_O2
4.98999999999998,0.9977854195510774,0.9999999141315321,0.9999999797907047,0.9999999997995881,0.9999999938737116,1.0,1.0
5.009999999999979,0.9778796163548196,0.9999999588728927,0.9999999859515265,0.9999999985789367,0.999999995179556,1.0,1.0
5.029999999999979,0.9553642479493732,0.9999998949217817,0.9999999902965397,0.9999999971711517,0.9999999990442423,0.9999999999983569,1.0
5.0499999999999785,0.9994679858481783,0.9999997226740933,0.9999999936193484,0.9999999979697018,0.9999999993192223,0.9999999999981348,1.0
5.069999999999978,0.9983790401254291,0.9999992603832433,0.9999999956608709,0.9999999794693117,0.9999999998220201,0.9999999999562128,1.0
5.089999999999978,0.9523092152778226,0.9999987434369464,0.9999999969828357,0.9999999949132024,0.9999999999692801,0.9999999998872569,1.0
5.109999999999977,0.9902596607036063,0.9999985634474564,0.9999999970618392,0.9999999957732699,0.999999999981426,0.9999999999444222,1.0
5.129999999999977,0.9849517919697225,0.999999502265291,0.9999999957681962,0.999999997179756,0.9999999999973466,0.9999999999192979,1.0
5.149999999999976,0.9134373203847218,0.999999461002298,0.9999999981654231,0.9999999984013677,0.9999999999989009,0.9999999998348432,1.0
5.169999999999976,0.9949598865168653,0.9999795639747835,0.9999999981399768,0.9999999992553179,0.9999999999994005,0.999999999971978,1.0
5.1899999999999755,0.9657082899098041,0.9999949278912781,0.9999999982931875,0.9999999996712852,0.9999999999999445,0.9999999997706834,1.0
5.209999999999975,0.8732530373466849,0.999987058055273,0.9999999984239385,0.9999999975704545,1.0,0.9999999999500622,1.0
5.229999999999975,0.9577554096793488,0.9999837489258692,0.9999999984700128,0.999999983572041,1.0,0.9999999998138378,1.0
5.249999999999974,0.9702890315812713,0.9999883387017618,0.9999999983652077,0.999999936711792,1.0,0.9999999997693845,1.0
5.269999999999974,0.9581523132110674,0.9999946513038362,0.9999999980936027,0.9999998504565446,1.0,0.9999999936574846,1.0
5.289999999999973,0.9130700197837432,0.9999982336265858,0.9999999975625498,0.999999806005957,1.0,0.9999999983311905,1.0
5.309999999999973,0.9835652890876166,0.9999994134065373,0.999999996730704,0.9999988401844231,1.0,0.9999999861990618,1.0
5.3299999999999725,0.9932951241859768,0.9999998082202302,0.9999999957386532,0.9999996303498007,1.0,0.9999999982000398,1.0
5.349999999999972,0.7597577994746525,0.9999997451723188,0.9999999943973261,0.9999997445469413,1.0,0.9999999851935994,1.0
5.369999999999972,0.9831718158194823,0.9999996944781699,0.999999992980193,0.9999997475969127,1.0,0.9999999982804533,1.0
5.389999999999971,0.9854515992409817,0.9999997307201349,0.9999999917572824,0.9999998184745054,1.0,0.9999999875867851,1.0
5.409999999999971,0.9124163889788511,0.9999998578716243,0.9999999900834768,0.9999999093729719,1.0,0.9999999852566934,1.0
5.42999999999997,0.8080415488061549,0.9999999550446939,0.9999999890998637,0.9999999624606173,1.0,0.9999999906901027,1.0
5.44999999999997,0.9425154947992543,0.999999984226251,0.9999999879847778,0.9999999873299572,1.0,0.99999997085951,1.0
5.4699999999999696,0.6977095145602112,0.9999999923728122,0.9999999819889851,0.9999999965554554,1.0,0.9999999844659593,1.0
5.489999999999969,0.9641260600005569,0.9999999935030859,0.9999999761187142,0.9999999990820676,1.0,0.9999999738473977,1.0
5.509999999999969,0.9506262059174356,0.9999999956741714,0.9999999731762457,0.9999999998906097,1.0,0.9999999855198496,1.0
5.529999999999968,0.8794432316682054,0.9999999975473397,0.9999999794169314,0.9999999999893974,1.0,0.9999999894278901,1.0
5.549999999999968,0.800514427403282,0.9999999989326649,0.9999999858887101,0.9999999999927058,1.0,0.999999959282948,1.0
5.569999999999967,0.7452249543093806,0.999999998390654,0.9999999893024349,0.9999999998652966,1.0,0.9999999799758621,1.0
5.589999999999967,0.8624854309627745,0.9999999998387401,0.9999999853451671,0.9999999992435384,1.0,0.9999999688390706,1.0
5.609999999999967,0.820093446535581,0.9999999999275802,0.9999999830938013,0.999999997735256,1.0,0.9999999731627343,1.0
5.629999999999966,0.8244283375738635,0.9999999999124922,0.9999999840836429,0.9999999942121187,1.0,0.9999999825075592,1.0
