lambda_um,T_N2O
6.149999999999955,0.9999999735933011
6.169999999999955,0.999999972126129
6.189999999999954,0.9999999805788141
6.209999999999954,0.999999989328732
6.229999999999953,0.9999999940432265
6.249999999999953,0.9999999962192516
6.2699999999999525,0.9999999980543025
6.289999999999952,0.9999999991598758
6.309999999999952,0.999999999721193
6.329999999999951,0.9999999999965756
6.349999999999951,0.9999999999998885
6.36999999999995,0.9999999999999563
6.38999999999995,0.9999999999999765
6.4099999999999495,0.9999999999999902
6.429999999999949,0.9999999999999865
6.449999999999949,0.9999999999999841
6.469999999999948,0.9999999999999768
6.489999999999948,0.9999999999998448
6.509999999999947,0.9999999999999648
6.529999999999947,0.9999999999999518
6.5499999999999465,0.9999999999999514
6.569999999999946,0.9999999999999696
6.589999999999946,0.9999999999999815
6.609999999999945,0.9999999999999682
6.629999999999945,0.9999999999999701
6.649999999999944,0.9999999999999724
6.669999999999944,0.9999999999999765
6.6899999999999435,0.9999999999999849
6.709999999999943,0.9999999999999949
6.729999999999943,1.0
6.749999999999942,1.0
6.769999999999942,0.9999999999999969
6.789999999999941,0.9999999999999869
6.809999999999941,0.9999999999999802
6.829999999999941,0.9999999999999728
6.84999999999994,0.9999999999999631
6.86999999999994,0.9999999999999654
6.889999999999939,0.999999999999973
6.909999999999939,0.9999999999999883
6.929999999999938,0.9999999999999953
6.949999999999938,0.9999999999994245
6.969999999999938,0.9999999999988455
6.989999999999937,0.9999999999976946
7.009999999999937,0.9999999999533337
7.029999999999936,0.9999999993757683
7.049999999999936,0.999999998564352
7.0699999999999354,0.9999999977240006
7.089999999999935,0.9999999971391275
7.109999999999935,0.99999999707337
7.129999999999934,0.9999999979149665
7.149999999999934,0.9999999989779762
7.169999999999933,0.9999999997195246
7.189999999999933,0.9999999988373749
7.2099999999999325,0.9999999983552973
7.229999999999932,0.9999999980967108
7.249999999999932,0.9999999981040303
7.269999999999931,0.9999999983517094
7.289999999999931,0.9999999988417773
7.30999999999993,0.9999999989247423
7.32999999999993,0.9999999993645643
7.3499999999999295,0.9999999995241797
7.369999999999929,0.9999999995980609
7.389999999999929,0.9999999997398017
7.409999999999928,0.9999999996712744
7.429999999999928,0.9999999973017494
7.449999999999927,0.9999999862729205
7.469999999999927,0.9999999231507334
7.4899999999999265,0.9999997297617765
7.509999999999926,0.9999991489574358
7.529999999999926,0.9999975799451433
7.549999999999925,0.9999932638478203
7.569999999999925,0.9999850568313392
7.589999999999924,0.9999692006746234
7.609999999999924,0.9999435528193037
7.6299999999999235,0.999904498514184
7.649999999999923,0.9998745634438763
7.669999999999923,0.9998266865005576
7.689999999999922,0.9998158928717119
7.709999999999922,0.9997957931580523
